,Price,Close,High,Low,Open,Volume
1,Date,,,,,
138,2024-01-21,-1.1923845776344386,-1.2104129581893415,-1.1568891686168528,-1.1822731518432927,-1.2527438258610264
139,2024-01-22,-1.2698607631245442,-1.2180719004177925,-1.2358071061636153,-1.1867483989281868,-0.30799062252827936
140,2024-01-23,-1.2570070818674306,-1.2752383976131307,-1.2715947621920987,-1.2640325306457854,-0.39794242593137974
141,2024-01-24,-1.2482073395849111,-1.261867011379141,-1.2335447088196494,-1.2504028026264764,-0.6936801121022481
142,2024-01-25,-1.2536525791319617,-1.2704692351750757,-1.2321232931538026,-1.2428846664293942,-0.8598142074592906
143,2024-01-26,-1.1820811439424819,-1.197132134019777,-1.2213268294075055,-1.2481536074711996,-0.5545703845408007
144,2024-01-27,-1.1705577426052496,-1.1976481033221087,-1.1594232584657123,-1.1767990372047754,-1.1634473594075063
145,2024-01-28,-1.17376793372441,-1.1750815901972582,-1.1491819269661105,-1.1650066736072133,-0.9299495253157258
146,2024-01-29,-1.1261571263106078,-1.155998346119959,-1.144500502452741,-1.1686226542624942,-0.7663170248645194
147,2024-01-30,-1.1389140059485514,-1.1360002493432968,-1.1100693510759085,-1.120415908629867,-0.6299673234567382
148,2024-01-31,-1.152977113570325,-1.1405597122438234,-1.1259704410754596,-1.1338594523658259,-0.5942807392105844
149,2024-02-01,-1.1342327865429864,-1.1583504686055397,-1.142154067183204,-1.1481579602650893,-0.7338664500600182
150,2024-02-02,-1.130048640482484,-1.1516233777811011,-1.1149671958384644,-1.1288694168640192,-0.8550007667597319
151,2024-02-03,-1.1374073451642928,-1.1539697851849462,-1.1031511321708085,-1.124793390421751,-1.1743445825999557
152,2024-02-04,-1.1529399963850606,-1.1638096905280253,-1.1230446260574045,-1.1320102196232282,-1.018294476336454
153,2024-02-05,-1.1500861302444398,-1.148931281202533,-1.1272862822147374,-1.1478594719956865,-0.8502052269473617
154,2024-02-06,-1.1338945747508558,-1.1545622486582003,-1.11709992175964,-1.144829934744456,-0.9325480104250414
155,2024-02-07,-1.087009779480828,-1.117130368317459,-1.1075792380626526,-1.1283992830043088,-0.7466394334728129
156,2024-02-08,-1.049634852481801,-1.0708417232327139,-1.0475811291895492,-1.0812258230557725,-0.530670741152646
157,2024-02-09,-0.979486044769141,-0.9741800546495359,-1.011775099277697,-1.0445666569031553,0.03469704578403205
158,2024-02-10,-0.9557660848227189,-0.9744173038118408,-0.9483714965461356,-0.9740728366064507,-0.9497207094807939
159,2024-02-11,-0.9359015611440961,-0.9597954870022197,-0.9209169990477396,-0.9506992171684635,-0.8244166654900684
160,2024-02-12,-0.8726446723913575,-0.8943501810209571,-0.9159682495919166,-0.9306686070061841,-0.1716864640310017
161,2024-02-13,-0.8808460856474124,-0.8914272830646061,-0.8904936133292931,-0.8681948045245487,-0.12525064555848744
162,2024-02-14,-0.80162776794973,-0.8290415973796761,-0.8561666810286171,-0.876091095094746,0.02562681304430907
163,2024-02-15,-0.7973762170807874,-0.7990790357862106,-0.776172817065579,-0.7962091362968723,0.0023782053895573026
164,2024-02-16,-0.7889518037756631,-0.8096617552143567,-0.7657730484733228,-0.7923755203079857,-0.4436445980528474
165,2024-02-17,-0.807849647481256,-0.822643783187541,-0.8032369448451919,-0.783870236524121,-0.7946401043709185
166,2024-02-18,-0.7903830424394641,-0.816452005019001,-0.7814903996391874,-0.8028484233349372,-0.8983181461603575
167,2024-02-19,-0.8034350779346314,-0.8117117110707386,-0.7630567258467906,-0.7848904670552759,-0.7365196785142255
168,2024-02-20,-0.7842132754360496,-0.7943903241141258,-0.79850838077859,-0.7984521005837023,-0.22143667445390844
169,2024-02-21,-0.801153261853308,-0.8160074009680851,-0.8031563708484524,-0.7796219710755025,-0.42455854308217955
170,2024-02-22,-0.8214574014742042,-0.8294826844572163,-0.7933427592567764,-0.7955308617602371,-0.5624832925452508
171,2024-02-23,-0.8432368749749957,-0.848678032060867,-0.8073966715553728,-0.8172067179004875,-0.7337322414713443
172,2024-02-24,-0.8113423746146501,-0.8416905386660668,-0.8064841522165971,-0.8380013512175506,-1.0023220237601163
173,2024-02-25,-0.8051798825795474,-0.831718014118611,-0.7786965151279432,-0.8065230038244201,-0.9920491475072567
174,2024-02-26,-0.6991693412767256,-0.7196194701459853,-0.7931600746622997,-0.8002442170322046,-0.1904819019975043
175,2024-02-27,-0.6017560308936197,-0.622094677680179,-0.6561675629832892,-0.6943285030316005,0.4831367684703996
176,2024-02-28,-0.39577480514296465,-0.3829294975883539,-0.5692557813263537,-0.5974171357066462,1.9213279962252858
177,2024-02-29,-0.44542869090246884,-0.3952150182925852,-0.4242771064228407,-0.391265886064731,1.1592192519021325
178,2024-03-01,-0.3982132557461045,-0.41136657198009396,-0.41256420759213175,-0.44182003720767715,0.07204951816810952
179,2024-03-02,-0.41382637702452585,-0.43749167599895983,-0.37960884050324495,-0.39383063020063397,-0.628006091255047
180,2024-03-03,-0.3705913888159318,-0.4085488901439004,-0.3881782992219013,-0.40902489961612726,-0.5264059768115614
181,2024-03-04,-0.17435446347840844,-0.20946680215589214,-0.3514933350203817,-0.3670423464998009,1.3814558816175033
182,2024-03-05,-0.34650085089182836,-0.18569792375821187,-0.4695723434609912,-0.16939964442998445,2.76166578419226
183,2024-03-06,-0.2588694035133421,-0.24319604223477048,-0.3336750357152332,-0.3427722237755306,1.298974295648156
184,2024-03-07,-0.22775302782488252,-0.2284906973074757,-0.22545647720832968,-0.25452161523758926,0.3642713488023615
185,2024-03-08,-0.17550687784650218,-0.15146868729774976,-0.2032903447968738,-0.22268217418256686,0.888879951522478
186,2024-03-09,-0.1679513036140504,-0.20436396686881433,-0.1330171687694588,-0.17098703234380688,-0.7258900857153825
187,2024-03-10,-0.1481527000564574,-0.1543892406051836,-0.12581310043293495,-0.16335332837243804,-0.12134503062053133
188,2024-03-11,-0.03017142109959503,-0.047641771623739754,-0.16610672544917726,-0.14359346427957234,1.1686710052572429
189,2024-03-12,-0.05459601369107941,-0.04858168275840511,-0.10696450820872974,-0.025685850537098476,1.0328417183191314
190,2024-03-13,0.006300815953797998,-0.018126744892336677,-0.006519307211575328,-0.050106404228155314,0.41680351094609236
191,2024-03-14,-0.05781511293470329,-0.013902859868078132,-0.11335801719861371,0.010555254013541779,0.905705986797791
192,2024-03-15,-0.1335582228104364,-0.0661580502847588,-0.2264140276219187,-0.05368559308879827,1.7100512926768219
193,2024-03-16,-0.28895986020108944,-0.15284851318549675,-0.2583877474009953,-0.12946778880270177,0.3579423383984494
194,2024-03-17,-0.17206596630373733,-0.19788658115405314,-0.2682608482052173,-0.28427401207096176,0.2666512821228409
195,2024-03-18,-0.2040698881262428,-0.19595781433857679,-0.1892650475625401,-0.1682507909716068,0.46186381735729426
196,2024-03-19,-0.4182761336627811,-0.2256017967604235,-0.38427821656850364,-0.19920989932750563,1.5337429578555657
197,2024-03-20,-0.1901939995869435,-0.2252893722922123,-0.41236149245267106,-0.41287676314832217,1.214888273100945
198,2024-03-21,-0.2822600597920972,-0.22211061452277653,-0.26688822875421847,-0.18571027777552576,0.2564921307627989
199,2024-03-22,-0.3473536553404667,-0.2812423671323644,-0.3526942640858047,-0.2776814565462477,0.12422751685053329
200,2024-03-23,-0.33658061502054265,-0.30552736137293385,-0.3263565071216588,-0.341759262590897,-0.5914743125319483
201,2024-03-24,-0.21602043403149937,-0.24376520575941038,-0.2959998396846246,-0.3315798037969868,-0.48547882317912744
202,2024-03-25,-0.11246229939347685,-0.11097044579503883,-0.19618145920042362,-0.2114405006724914,0.1800254001854191
203,2024-03-26,-0.11135917664741443,-0.09697201251626691,-0.08357094014600765,-0.1090032431593074,-0.10732235817620009
204,2024-03-27,-0.13159813849098606,-0.08977130261056276,-0.12034009287869996,-0.10670286587036064,0.09957191040737524
205,2024-03-28,-0.08258266831803211,-0.09658631776939457,-0.1005390708313527,-0.1271780930025209,-0.17757478619597875
206,2024-03-29,-0.11497023336743195,-0.12033028427233004,-0.0935548866728471,-0.07810881715204658,-0.5703459260264983
207,2024-03-30,-0.12437810361332581,-0.1412483626678619,-0.07333638589846794,-0.11044198035447093,-0.9182974545770224
208,2024-03-31,-0.060207538228115115,-0.10289781957326688,-0.07241859536364384,-0.11977196408347017,-0.7928424743919704
209,2024-04-01,-0.1222175864934469,-0.10423661410496358,-0.13079754341628555,-0.05575127433291634,-0.15615690072938385
210,2024-04-02,-0.2839482978466699,-0.1655242713938774,-0.2666693988154099,-0.11759798441158666,0.523874472678997
211,2024-04-03,-0.26365811428743324,-0.2703418012353863,-0.26769863749525696,-0.2793243288600486,-0.1727159552435251
212,2024-04-04,-0.167572708324352,-0.181172458266984,-0.24634306443044096,-0.25923274519939715,-0.17479882205534825
213,2024-04-05,-0.19308379516290028,-0.20238684166942159,-0.2117329935991662,-0.16276465965822803,-0.20449263347262905
214,2024-04-06,-0.1528535173358421,-0.16847970135395393,-0.15466220580013165,-0.18840735368891748,-0.7964143172568784
215,2024-04-07,-0.13512486496608253,-0.14391422848666954,-0.10223067294607938,-0.1482814510157208,-0.743274325692445
216,2024-04-08,-0.048892141597105504,-0.05271940193495813,-0.09403351127404025,-0.1306044772322071,-0.05358742541920217
217,2024-04-09,-0.14362113714187905,-0.08921532773608187,-0.12685619482810917,-0.04439507152662864,-0.08943371104377583
218,2024-04-10,-0.0885525963959823,-0.11356509290298783,-0.15420556961674034,-0.13904760068561473,-0.008178053597788212
219,2024-04-11,-0.10859320400150017,-0.10745757555490817,-0.07446412064161906,-0.08452957873244231,-0.3589047786196179
220,2024-04-12,-0.21747631850631607,-0.10871401429338975,-0.24090529858692947,-0.10406394472913885,0.24141316890894368
221,2024-04-13,-0.34573029812573636,-0.23218557091980066,-0.40806953402447654,-0.21317683601299398,0.6168477446270039
222,2024-04-14,-0.27285931604577407,-0.3112283752150014,-0.35845899468991727,-0.3404866818876476,0.45424986041436743
223,2024-04-15,-0.36075340462719235,-0.2716800096048537,-0.35359262649805046,-0.2681974813542066,0.21850242531572714
224,2024-04-16,-0.3460955312287395,-0.3663280643898656,-0.3773297259375257,-0.3563212472130528,0.18635629054587466
225,2024-04-17,-0.4424523380504751,-0.3614251104229754,-0.4524278536164274,-0.340653135087583,0.14631132925473722
226,2024-04-18,-0.3574640796690479,-0.3749556397022172,-0.4113708088067779,-0.4377466811376003,-0.10749975855920854
227,2024-04-19,-0.3448904104575701,-0.3240895072283948,-0.456946322869101,-0.3528479831160051,0.4901637163169772
228,2024-04-20,-0.3011481045607802,-0.3255578436127644,-0.3211935965006701,-0.3399218981691502,-0.6619819960144443
229,2024-04-21,-0.3037249280305863,-0.31502436181187876,-0.27857793432231454,-0.2965611362940005,-0.7732683034615474
230,2024-04-22,-0.23109030818638873,-0.2583506805108155,-0.26815045429940404,-0.29873289065572445,-0.4392581884920559
231,2024-04-23,-0.24744918795114537,-0.2596531329842963,-0.21738552303024894,-0.22641179400999636,-0.6098580526008763
232,2024-04-24,-0.3284204760745019,-0.2643002271381017,-0.30509807466973443,-0.24278710970417566,-0.3536097769165111
233,2024-04-25,-0.3206361115120795,-0.3318321241150769,-0.3361826189782495,-0.323822075872725,-0.27289403382348126
234,2024-04-26,-0.3482446162555569,-0.35004726193079855,-0.3154104920131888,-0.3158332123998897,-0.6172290282854435
235,2024-04-27,-0.36102213304850767,-0.3834835674355896,-0.3500205628444636,-0.34372406310778153,-0.8151852226645973
236,2024-04-28,-0.37264916556699845,-0.36761044080699323,-0.33579842408912314,-0.3561610248815642,-0.9095097150426867
237,2024-04-29,-0.34498350035821357,-0.3731102544638572,-0.3742817697767495,-0.3682060353592423,-0.5099933242085506
238,2024-04-30,-0.46677122089832607,-0.3532856617070645,-0.4774315461635283,-0.3403656250149673,-0.028699708408434756
239,2024-05-01,-0.5573383406937562,-0.5004482836952175,-0.5763164731303615,-0.46303362225078076,0.42656446343894705
240,2024-05-02,-0.5242933560589506,-0.5446478465947756,-0.5615919140888095,-0.552503404048142,-0.2490106030685343
241,2024-05-03,-0.3811399443993758,-0.405161605161395,-0.48790902724609775,-0.5195152578887526,-0.22924288217799246
242,2024-05-04,-0.34306973828597337,-0.3611027211968663,-0.3432875888290638,-0.37638405019564053,-0.7683787438726398
243,2024-05-05,-0.3377615353869196,-0.3567535439960972,-0.32956380400869756,-0.3383514226125405,-0.8682166990670442
244,2024-05-06,-0.3707974634285206,-0.32359039009015494,-0.33762436640028287,-0.33281188385533217,-0.4214219886121015
245,2024-05-07,-0.4022351254726301,-0.36502297418635304,-0.35536962198876093,-0.36606410015365654,-0.5402834927456356
246,2024-05-08,-0.4458255478473174,-0.4177070888143161,-0.4096879418169314,-0.39759095930826543,-0.5335208019203258
247,2024-05-09,-0.3750539137659181,-0.401995010258217,-0.4185191530707903,-0.4409413364026706,-0.5607893020916841
248,2024-05-10,-0.460844942630247,-0.4004258539704096,-0.43545610839664917,-0.370149472898595,-0.4597785659442431
249,2024-05-11,-0.4608094586011341,-0.4752891750302204,-0.4245125029778013,-0.4560508956780898,-1.0595280318728715
250,2024-05-12,-0.43592624606852093,-0.4615212500481165,-0.4191157018578658,-0.4560452582256856,-1.0613240809822002
251,2024-05-13,-0.38069854683220977,-0.4013292765063017,-0.41382447526449934,-0.4310661516845781,-0.456160723012127
252,2024-05-14,-0.43195841896374054,-0.4137290988452444,-0.40017885475125053,-0.3760140552931103,-0.44339958005677615
253,2024-05-15,-0.252761993381172,-0.28759343488671374,-0.39221166783252226,-0.42716310601871327,0.05610503019770913
254,2024-05-16,-0.29213486422861906,-0.2779156034000331,-0.2656491964716458,-0.24858300419176577,-0.29792355978736773
255,2024-05-17,-0.22294917323920344,-0.24989118721771264,-0.2461302587156877,-0.2875039755905638,-0.45005707617342466
256,2024-05-18,-0.22717073342245228,-0.2525972051492266,-0.1865942078276253,-0.21781645934167457,-0.9362505940080463
257,2024-05-19,-0.25234865640606596,-0.2410814619926094,-0.2145975121374587,-0.22268840505101364,-0.8272847986162855
258,2024-05-20,-0.055853840865324474,-0.09892950128097845,-0.20885311328953268,-0.24772344105413147,0.22944437903450687
259,2024-05-21,-0.10570756555029301,-0.08156415215716892,-0.08914154012993841,-0.05158964762651013,0.36179991193543515
260,2024-05-22,-0.14425509866619754,-0.13118688800211142,-0.09737032897826783,-0.10125590001579018,-0.2451126298594795
261,2024-05-23,-0.18959002874831873,-0.15303608509886932,-0.19841313300170746,-0.13976682092918585,0.1454708932795355
